input_text,target_gloss
und nun die wettervorhersage für morgen donnerstag den zwölften august,JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR
mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich,ORT REGEN DURCH REGEN KOENNEN UEBERSCHWEMMUNG KOENNEN
im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner,NORDWEST HEUTE NACHT TROCKEN BLEIBEN SUEDWEST KOENNEN REGEN ORT GEWITTER DAZU
auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen,TAGSUEBER OFT REGEN GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN
größere wolkenlücken finden sich vor allem im nordwesten,WOLKE LOCH SPEZIELL NORDWEST
im emsland heute nacht nur neun am oberrhein bis siebzehn grad,FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD
morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad,MORGEN TEMPERATUR GLEICH-WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L IX SIEBEN ZWANZIG GRAD
am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr,FREITAG OST KOENNEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN
sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten,REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE
am temperaturniveau ändert sich wenig,TEMPERATUR BLEIBEN GLEICH
und nun die wettervorhersage für morgen dienstag den sechsundzwanzigsten oktober,MORGEN WETTER WIE-AUSSEHEN DIENSTAG SECHS ZWANZIG OKTOBER
das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet,ITALIEN IX TIEF DRUCK KOMMEN HEUTE NACHT BERG SCHNEE REGEN
gleichzeitig weitet sich das hoch über der britannie weiter nach osten aus und beschert uns morgen in weiten teilen deutschlands ruhiges teilweise auch freundliches wetter,LANG ZEIT REGION HOCH KOMMEN OST KOMMEN SONST REGION DEUTSCH STARK RUHIG AUCH TEILWEISE FREUNDLICH SONNE
am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter,TAG MISCHUNG SONNE WOLKE KOENNEN NEBEL SUEDOST SUED NORD HABEN SCHAUER KOENNEN ABEND DANN NORDWEST BISSCHEN WOLKE KOMMEN
im norden und osten weht der wind schwach bis mäßig sonst meist nur schwach am abend frischt er im nordwesten auf,WIND WEHEN ABEND FRISCH WEHEN
in der nacht sechs grad an der nordsee und minus sechs grad im allgäu,HEUTE NACHT SECHS GRAD NORD MINUS SECHS ALLGAEU REGION
am tag drei grad im berchtesgadener land und elf grad am niederrhein,DREI REGION DREI ELF REGION
